NAME	FRAME	DURATION
RenderThread_0.0	0	44.5097
RenderThread_0.1	1	41.5663
RenderThread_0.2	2	43.6086
RenderThread_0.3	3	48.4744
RenderThread_0.4	4	44.9463
RenderThread_0.5	5	43.3683
RenderThread_0.6	6	44.0152
RenderThread_0.7	7	43.6249
RenderThread_0.8	8	43.8391
RenderThread_0.9	9	44.7871
RenderThread_1.0	0	43.9605
RenderThread_1.1	1	44.5542
RenderThread_1.2	2	46.3555
RenderThread_1.3	3	49.2067
RenderThread_1.4	4	58.9103
RenderThread_1.5	5	46.3026
RenderThread_1.6	6	48.3918
RenderThread_1.7	7	44.9743
RenderThread_1.8	8	44.4247
RenderThread_1.9	9	50.444
RenderThread_2.0	0	45.2294
RenderThread_2.1	1	44.7023
RenderThread_2.2	2	52.1191
RenderThread_2.3	3	44.4154
RenderThread_2.4	4	44.9442
RenderThread_2.5	5	52.8267
RenderThread_2.6	6	55.351
RenderThread_2.7	7	73.1361
RenderThread_2.8	8	44.6017
RenderThread_2.9	9	45.2615
RenderThread_3.0	0	69.3237
RenderThread_3.1	1	69.385
RenderThread_3.2	2	77.9673
RenderThread_3.3	3	78.0911
RenderThread_3.4	4	58.011
RenderThread_3.5	5	62.6422
RenderThread_3.6	6	59.0131
RenderThread_3.7	7	56.555
RenderThread_3.8	8	67.9935
RenderThread_3.9	9	56.6475
RenderThread_4.0	0	182.328
RenderThread_4.1	1	165.788
RenderThread_4.2	2	157.373
RenderThread_4.3	3	154.53
RenderThread_4.4	4	156.728
RenderThread_4.5	5	163.267
RenderThread_4.6	6	154.989
RenderThread_4.7	7	158.474
RenderThread_4.8	8	163.294
RenderThread_4.9	9	171.753
RenderThread_5.0	0	164.172
RenderThread_5.1	1	167.015
RenderThread_5.2	2	162.095
RenderThread_5.3	3	161.301
RenderThread_5.4	4	169.956
RenderThread_5.5	5	161.366
RenderThread_5.6	6	155.649
RenderThread_5.7	7	177.434
RenderThread_5.8	8	172.052
RenderThread_5.9	9	168.4
RenderThread_6.0	0	100.536
RenderThread_6.1	1	93.7321
RenderThread_6.2	2	97.6358
RenderThread_6.3	3	98.039
RenderThread_6.4	4	89.8169
RenderThread_6.5	5	93.6371
RenderThread_6.6	6	87.2741
RenderThread_6.7	7	97.3804
RenderThread_6.8	8	90.8439
RenderThread_6.9	9	86.3639
RenderThread_7.0	0	74.3785
RenderThread_7.1	1	69.1708
RenderThread_7.2	2	66.3974
RenderThread_7.3	3	70.6214
RenderThread_7.4	4	66.1481
RenderThread_7.5	5	64.8197
RenderThread_7.6	6	70.3129
RenderThread_7.7	7	68.2736
RenderThread_7.8	8	75.1393
RenderThread_7.9	9	77.0073
