NAME	FRAME	DURATION
RenderThread_0.0	0	44.2745
RenderThread_0.1	1	42.0534
RenderThread_0.2	2	44.629
RenderThread_0.3	3	44.9598
RenderThread_0.4	4	46.8648
RenderThread_0.5	5	43.3626
RenderThread_0.6	6	55.3567
RenderThread_0.7	7	43.8181
RenderThread_0.8	8	46.8501
RenderThread_0.9	9	43.6375
RenderThread_1.0	0	44.4121
RenderThread_1.1	1	44.297
RenderThread_1.2	2	49.6388
RenderThread_1.3	3	44.5386
RenderThread_1.4	4	45.666
RenderThread_1.5	5	60.6834
RenderThread_1.6	6	45.5878
RenderThread_1.7	7	44.995
RenderThread_1.8	8	45.4589
RenderThread_1.9	9	44.0738
RenderThread_2.0	0	44.0197
RenderThread_2.1	1	43.6378
RenderThread_2.2	2	44.7955
RenderThread_2.3	3	45.0431
RenderThread_2.4	4	44.3932
RenderThread_2.5	5	44.8376
RenderThread_2.6	6	50.4479
RenderThread_2.7	7	45.3466
RenderThread_2.8	8	43.6161
RenderThread_2.9	9	63.6361
RenderThread_3.0	0	53.4511
RenderThread_3.1	1	51.7279
RenderThread_3.2	2	53.5419
RenderThread_3.3	3	57.9915
RenderThread_3.4	4	53.9159
RenderThread_3.5	5	53.1224
RenderThread_3.6	6	69.1371
RenderThread_3.7	7	52.0554
RenderThread_3.8	8	50.4443
RenderThread_3.9	9	54.845
RenderThread_4.0	0	123.821
RenderThread_4.1	1	128.948
RenderThread_4.2	2	141.682
RenderThread_4.3	3	121.907
RenderThread_4.4	4	124.158
RenderThread_4.5	5	131.485
RenderThread_4.6	6	127.599
RenderThread_4.7	7	149.826
RenderThread_4.8	8	122.121
RenderThread_4.9	9	133.932
RenderThread_5.0	0	136.125
RenderThread_5.1	1	161.307
RenderThread_5.2	2	168.014
RenderThread_5.3	3	129.821
RenderThread_5.4	4	139.183
RenderThread_5.5	5	144.897
RenderThread_5.6	6	161.462
RenderThread_5.7	7	149.624
RenderThread_5.8	8	125.273
RenderThread_5.9	9	143.109
RenderThread_6.0	0	86.4712
RenderThread_6.1	1	99.1498
RenderThread_6.2	2	89.405
RenderThread_6.3	3	92.0077
RenderThread_6.4	4	84.5698
RenderThread_6.5	5	99.13
RenderThread_6.6	6	104.16
RenderThread_6.7	7	101.854
RenderThread_6.8	8	76.6888
RenderThread_6.9	9	95.086
RenderThread_7.0	0	65.8918
RenderThread_7.1	1	71.8405
RenderThread_7.2	2	68.3526
RenderThread_7.3	3	68.6008
RenderThread_7.4	4	69.787
RenderThread_7.5	5	70.1539
RenderThread_7.6	6	74.9374
RenderThread_7.7	7	73.64
RenderThread_7.8	8	66.1294
RenderThread_7.9	9	69.2213
